Title,Year,Type,Journal Name,Article URL,Researcher Name,Profile URL,Job Title,Field
Australian Mergers and Acquisitions Since the 1980s: What Do We Know and What Remains to be Done?,2004,Contribution to journal,Australian Journal of Management,https://research-repository.uwa.edu.au/en/publications/australian-mergers-and-acquisitions-since-the-1980s-what-do-we-kn,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Board Characteristics of Australian IPOs: An Analysis in Light of the ASX Best Practice Recommendations,2004,Contribution to journal,Australian Accounting Review,https://research-repository.uwa.edu.au/en/publications/board-characteristics-of-australian-ipos-an-analysis-in-light-of-,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Competition in the Market for Takeover Advisers,2004,Contribution to journal,Australian Journal of Management,https://research-repository.uwa.edu.au/en/publications/competition-in-the-market-for-takeover-advisers,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Market Returns to Acquirers of Substantial Assets,2004,Contribution to journal,Australian Journal of Management,https://research-repository.uwa.edu.au/en/publications/market-returns-to-acquirers-of-substantial-assets,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Returns to Australian Newsletter Recommendations,2004,Contribution to journal,Australian Journal of Management,https://research-repository.uwa.edu.au/en/publications/returns-to-australian-newsletter-recommendations,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
The Association of Corporate Governance Ratings with Institutional Investor Trading Activity,2004,Chapter in Book/Conference paper,,https://research-repository.uwa.edu.au/en/publications/the-association-of-corporate-governance-ratings-with-institutiona,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
The Demutualisation of the Australian Stock Exchange: Causes and Consequences,2004,Book/Report,,https://research-repository.uwa.edu.au/en/publications/the-demutualisation-of-the-australian-stock-exchange-causes-and-c,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
The Equity Wealth Effects of Method of Payment in Takover Bids for Privately Held Firms,2004,Contribution to journal,Australian Journal of Management,https://research-repository.uwa.edu.au/en/publications/the-equity-wealth-effects-of-method-of-payment-in-takover-bids-fo,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
The sharemarket performance of Australian venture capital-backed and non-venture capital-backed IPOs,2003,Contribution to journal,Pacific-Basin Finance Journal,https://research-repository.uwa.edu.au/en/publications/the-sharemarket-performance-of-australian-venture-capital-backed-,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Australia's Corporate Law Reform and the Market for Corporate Control,1998,Contribution to journal,Agenda,https://research-repository.uwa.edu.au/en/publications/australias-corporate-law-reform-and-the-market-for-corporate-cont,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Research Method and the Long-Run Performance of Acquiring Firms,1998,Contribution to journal,Australian Journal of Management,https://research-repository.uwa.edu.au/en/publications/research-method-and-the-long-run-performance-of-acquiring-firms,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Takeover Activity and Shareholder Wealth: 1974-1995,1997,Chapter in Book/Conference paper,,https://research-repository.uwa.edu.au/en/publications/takeover-activity-and-shareholder-wealth-1974-1995,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Takeovers: Who Wins,1997,Contribution to journal,JASSA,https://research-repository.uwa.edu.au/en/publications/takeovers-who-wins,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
"Measuring Long-run Performance: The Impact of Survivorship Bias, Returns Asymmetry and Firm Size",1996,Chapter in Book/Conference paper,,https://research-repository.uwa.edu.au/en/publications/measuring-long-run-performance-the-impact-of-survivorship-bias-re,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
"Measuring Long-Run Sharemarket Performance : The Impact of Survivorship Bias, Firm, Size and Return Asymmetry",1995,Chapter in Book/Conference paper,,https://research-repository.uwa.edu.au/en/publications/measuring-long-run-sharemarket-performance-the-impact-of-survivor,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Returns to Shareholders of Firms Involved in Australian Corporate Takeovers : A Re-examination,1995,Chapter in Book/Conference paper,,https://research-repository.uwa.edu.au/en/publications/returns-to-shareholders-of-firms-involved-in-australian-corporate,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
The economic consequences of takeovers in Australia: a re-examination,1994,Thesis,,https://research-repository.uwa.edu.au/en/publications/the-economic-consequences-of-takeovers-in-australia-a-re-examinat,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
An Investigation of the Size Effect Anomaly on the Abnormal Returns to Firms involved in Corporate Takeovers,1992,Chapter in Book/Conference paper,,https://research-repository.uwa.edu.au/en/publications/an-investigation-of-the-size-effect-anomaly-on-the-abnormal-retur,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
Consistency Between Accounting and Sharemarket Based Assessments of the Economic Consequences of Takeover Activity: An Investigation,1992,Chapter in Book/Conference paper,,https://research-repository.uwa.edu.au/en/publications/consistency-between-accounting-and-sharemarket-based-assessments-,Raymond Da Silva Rosa,https://research-repository.uwa.edu.au/en/persons/raymond-da-silva-rosa,Winthrop Professor,Finance
