Journal Name,ISSN,ISSN Online,Start year,www,ABDC FoR code,ABDC Ranking
Agriculture and Human Values,0889-048X,1572-8366,1984.0,http://springerlink.metapress.com/,1402,B
Air and Space Law,0927-3379,1875-8339,1974.0,http://www.kluwerlawonline.com/,180105,B
Akron Tax Journal,1044-4130,,1983.0,http://www.heinonline.org/,180125,B
Alberta Law Review,0002-4821,,1955.0,http://www.heinonline.org/,180105,B
ALI - ABA Business Law Course Materials Journal,1536-4445,,1976.0,http://www.ali-aba.org/,180105,C
Aligarh Journal of Statistics,0971-0388,,1981.0,,1403,C
"Allemagne d'Aujourd'hui: politique, economie, societe, culture",0002-5712,,1966.0,http://allemagne-aujourdhui.septentrion.com,1402,C
Alliance Journal of Business Research,0973-0850,,2005.0,,1503,C
"Alternatives: global, local, political",0304-3754,,1974.0,http://www.atypon-link.com/,1503,A
American Bankruptcy Institute Law Review,1068-0861,,1993.0,http://www.heinonline.org/,180105,B
American Bankruptcy Law Journal,0027-9048,,1926.0,http://www.heinonline.org/,180105,B
American Behavioral Scientist,0002-7642,1552-3381,1957.0,http://abs.sagepub.com/,1503,B
American Business Law Journal,0002-7766,1744-1714,1963.0,http://www.ebscohost.com/,180105,B
American Business Review,0743-2348,,2004.0,,1503,A
American Economist,0569-4345,,1956.0,http://www.ebscohost.com/,1402,C
American Journal of Agricultural Economics,0002-9092,1467-8276,1919.0,http://www.jstor.org/,1402,A*
American Journal of Comparative Law,0002-919X,,1952.0,http://www.heinonline.org/,180105,A
American Journal of Economics and Sociology,0002-9246,1536-7150,1941.0,http://www.jstor.org/,1402,B
American Journal of Evaluation,1098-2140,1557-0878,1980.0,http://aje.sagepub.com/,1503,C
American Journal of Finance and Accounting,1752-7767,1752-7775,2008.0,http://www.ingentaconnect.com/,1502,C
American Journal of International Law,0002-9300,0272-5037,1907.0,http://www.heinonline.org/,180105,A*
American Journal of Political Science,0092-5853,1540-5907,1950.0,http://www.ebscohost.com/,1499,A*
American Journal of Psychology,0002-9556,1939-8298,1887.0,http://www.jstor.org/,1503,B
American Journal of Public Health,0090-0036,1541-0048,1911.0,http://ajph.aphapublications.org/,1503,A*
American Journal of Recreation Therapy,1539-4131,,2002.0,http://ejournal.recreationtherapy.org/,1506,C
American Journal of Sociology,0002-9602,1537-5390,1895.0,http://www.journals.uchicago.edu/,1503,A*
