Journal Name,ISSN,ISSN Online,Start year,www,ABDC FoR code,ABDC Ranking
ESAIM: Probability and Statistics,1292-8100,1262-3318,1999.0,http://www.swetswise.com/,1403,C
E-Service Journal,1528-8226,1528-8234,2001.0,http://muse.jhu.edu/,1503,B
Estudios de Economia,0304-2758,0718-5286,1973.0,http://www.estudiosdeeconomia.cl/ede.php?pg=home,1402,C
Estudos Economicos,0101-4161,0101-4161,1970.0,http://www.scielo.br/,1402,C
Ethics and Information Technology,1388-1957,1572-8439,1999.0,http://www.proquest.co.uk/en-UK/,806,C
"Ethics: an international journal of social, political, and legal philosophy",0014-1704,1539-297X,1888.0,http://www.journals.uchicago.edu/,1503,A
Eurasian Geography and Economics,1538-7216,1938-2863,1960.0,http://bellwether.metapress.com/,1499,B
EuroChoices,1478-0917,1746-692X,2001.0,http://www.wiley.com/,1402,C
EuroMed Journal of Business,1450-2194,1758-888X,2007.0,http://www.emeraldinsight.com/,1503,C
Europe - Asia Studies,0966-8136,1465-3427,1949.0,http://www.tandf.co.uk/,1499,C
European Business Journal,0955-808X,,1989.0,,1503,C
European Business Law Review,0959-6941,1875-841X,1988.0,http://heinonline.org/,180105,C
European Business Organization Law Review,1566-7529,1741-6205,2000.0,http://journals.cambridge.org/,180105,B
European Business Review,0955-534X,1758-7107,1989.0,http://www.emeraldinsight.com/,1503,B
European Company Law,1572-4999,1875-6530,2002.0,http://www.kluwerlawonline.com/,180105,C
European Competition Journal,1744-1056,,2005.0,http://heinonline.org/,180105,C
European Economic Review,0014-2921,1873-572X,1969.0,http://www.elsevier.com/,1402,A
European Financial Management,1354-7798,1468-036X,1995.0,http://www.wiley.com/,1502,A
European Intellectual Property Review,0142-0461,1749-5083,1978.0,http://au.westlaw.com/,180105,A
European Journal of Communication,0267-3231,1460-3705,1986.0,http://ejc.sagepub.com/,1503,B
European Journal of Development Research,0957-8811,1743-9728,1989.0,http://www.palgrave-journals.com/,1402,B
European Journal of Health Economics,1618-7598,1618-7601,2000.0,http://www.springerlink.com/,1402,B
European Journal of Housing Policy,1461-6718,1473-3269,2001.0,http://www.informaworld.com/,1402,B
European Journal of Industrial Relations,0959-6801,1461-7129,1995.0,http://ejd.sagepub.com/,1503,A
European Journal of Information Systems,0960-085X,1476-9344,1991.0,http://www.palgrave-journals.com/ejis/index.html,806,A*
European Journal of Innovation Management,1460-1060,1758-7115,1998.0,http://www.emeraldinsight.com/,1503,C
European Journal of International Law,0938-5428,1464-3596,1990.0,http://ejil.oxfordjournals.org/,180105,A
European Journal of International Management,1751-6757,1751-6765,2007.0,http://www.inderscience.com/browse/index.php?journalCODE=ejim,1503,C
European Journal of International Relations,1354-0661,1460-3713,1995.0,http://ejt.sagepub.com/,1503,A
European Journal of Law and Economics,0929-1261,1572-9990,1993.0,http://www.springerlink.com/,180105,C
European Journal of Management,1555-4015,,2006.0,,1503,C
European Journal of Marketing,0309-0566,1758-7123,1967.0,http://www.emeraldinsight.com/,1505,A
European Journal of Operational Research,0377-2217,1872-6860,1977.0,http://www.elsevier.com/,1503,A
European Journal of Political Economy,0176-2680,1873-5703,1985.0,http://www.sciencedirect.com/,1402,B
European Journal of Political Research,0304-4130,1475-6765,1973.0,http://www3.interscience.wiley.com/,1499,A
European Journal of Population,0168-6577,1572-9885,1970.0,http://www.springerlink.com/,1499,B
European Journal of Psychological Assessment,1015-5759,2151-2426,1985.0,http://csaweb116v.csa.com/,1503,B
European Journal of Public Health,1101-1262,1464-360X,1991.0,http://eurpub.oxfordjournals.org/,1503,B
European Journal of Social Psychology,0046-2772,1099-0992,1971.0,http://www3.interscience.wiley.com/,1503,A
European Journal of Sociology,0003-9756,1474-0583,1960.0,http://journals.cambridge.org/,1503,A
European Journal of the History of Economic Thought,0967-2567,1469-5936,1993.0,http://www.informaworld.com/,1401,B
European Journal of Transport and Infrastructure Research,1567-7133,1567-7141,2000.0,,1507,C
European Journal of Work and Organizational Psychology,1359-432X,1464-0643,1991.0,http://www.tandf.co.uk/,1503,B
European Law Journal,1351-5993,1468-0386,1995.0,http://www3.interscience.wiley.com/,180105,B
European Law Review,0307-5400,,1975.0,http://au.westlaw.com/,180105,A
European Management Journal,0263-2373,1873-5681,1983.0,http://www.elsevier.com/,1503,B
European Management Review,1740-4754,1740-4762,2004.0,http://www.palgrave-journals.com/,1503,C
European Quality,0969-059X,,1958.0,,1503,C
European Review of Agricultural Economics,0165-1587,1464-3618,1973.0,http://erae.oxfordjournals.org/,1402,A
European Review of Economic History,1361-4916,1474-0044,1997.0,http://journals.cambridge.org/,1402,B
European Spatial Research and Policy,1231-1952,,1994.0,,1503,C
European Sport Management Quarterly,1618-4742,1746-031X,2001.0,http://www.informaworld.com/,1504,B
European Taxation,0014-3138,,1961.0,http://www.ibfd.org/,180125,B
European Transport - Trasporti Europei,1825-3997,,1995.0,http://www.istiee.org/te/,1507,C
European Transport Law,0014-3154,,1966.0,,180105,C
European Urban and Regional Studies,0969-7764,1461-7145,1994.0,http://eur.sagepub.com/,1499,A
"Evaluation: international journal of theory, research and practice",1356-3890,1461-7153,1995.0,http://evi.sagepub.com/,1503,B
Event Management: an international journal,1525-9951,1943-4308,1993.0,http://www.ingentaconnect.com/,1506,B
Experimental Economics,1386-4157,1573-6938,1998.0,http://www.springerlink.com/,1402,A
Expert Review of Pharmacoeconomics  Outcomes Research,1473-7167,1744-8379,2001.0,http://www.expert-reviews.com/,1402,C
Expert Systems with Applications,0957-4174,1873-6793,1990.0,http://www.sciencedirect.com/,806,B
Explorations in Economic History,0014-4983,1090-2457,1963.0,http://www.elsevier.com/,1402,A
Facilities,0263-2772,1758-7131,1983.0,http://www.proquest.com/,1504,B
Faith and Economics,0896-307X,,,,1401,B
Family Business Review,0894-4865,1741-6248,1988.0,http://fbr.sagepub.com/,1503,A
Far Eastern Economic Review,0014-7591,1563-9339,1946.0,http://feer.wsj.com/,1499,C
Federal Law Review,0067-205X,,1964.0,http://www.heinonline.org/,180105,A*
Federal Reserve Bank of Boston. Research Review,"1552-2814
1552-2814
1552-2814",1552-2822,1920.0,http://www.ebscohost.com/,1402,B
Federal Reserve Bank of St. Louis. Review,0014-9187,,1917.0,http://www.proquest.com/,1499,C
Feminist Economics,1354-5701,1466-4372,1995.0,http://www.informaworld.com/,1402,B
Finance,0752-6180,,1980.0,http://www.pug.fr/numrevue6.asp?NumRevue=6,1502,C
Finance a Uver: Czech journal of economics and finance,0015-1920,,1950.0,,1402,C
Finance and Development,0145-1707,1564-5142,1964.0,http://www.imf.org/external/pubs/ft/fandd/fda.htm,1402,C
Finance and Stochastics,0949-2984,1432-1122,1996.0,http://www.springerlink.com/,1502,A
Finance India,0970-3772,,1987.0,,1502,C
Finance Letters,1740-6242,,2003.0,,1502,C
Finance Research Letters,1544-6123,,2004.0,http://www.elsevier.com/,1502,B
Financial Accountability and Management,1468-0408,0267-4424,1985.0,http://www.ebscohost.com/,1501,A
Financial Analysts Journal,0015-198X,1938-3312,1945.0,http://www.cfapubs.org/,1502,A
Financial Counseling and Planning,1052-3073,,1990.0,http://www.afcpe.org/publications/,1502,C
Financial History Review,0968-5650,,1994.0,,1502,B
Financial Management,0046-3892,1755-053X,1972.0,http://blackwellpublishing.com,1502,A
Financial Markets and Portfolio Management,1934-4554,1555-497X,1986.0,http://www.springerlink.com/,1502,B
"Financial Markets, Institutions and Instruments",0963-8008,1468-0416,1928.0,http://www.blackwellpublishing.com/,1502,B
"Financial Reporting, Regulation  Governance",1449-2318,,2004.0,,1501,C
Financial Review (US),0800-3564,,1925.0,,1502,A
Financial Services Review,1057-0810,1873-5673,1991.0,,1502,C
Financijska Teorija i Praksa,1332-3970,1333-9354,1977.0,http://hrcak.srce.hr/,1402,C
Finanzarchiv,0015-2218,,1884.0,http://www.mohr.de/en/journals/economics/finanzarchiv-fa/journal.html,1502,B
Fiscal Studies,0143-5671,1475-5890,1979.0,http://www.wiley.com/,1402,A
FIU Hospitality Review,0739-7011,,1983.0,http://www.ebscohost.com/,1506,C
FM (Financial Management),0046-3892,1755-053X,1972.0,http://www.blackwellpublishing.com/,1502,A
Food Policy,0306-9192,1873-5657,1975.0,http://www.sciencedirect.com/,1402,B
Fordham Journal of Corporate  Financial Law,1532-303X,,1996.0,http://www.heinonline.org/,180105,B
Foreign Affairs,0015-7120,1665-1707,1910.0,http://www.heinonline.org/,1499,A*
"Foreign Policy (Washington): the magazine of global politics, economics and ideas",0015-7228,1945-2276,1971.0,http://www.ebscohost.com/,1499,A*
Foresight: the international journal of applied forecasting,1555-9068,1559-9434,2005.0,http://forecasters.org/foresight/index.html,1503,C
Forest Policy and Economics,1389-9341,1872-7050,2000.0,http://www.elsevier.com/,1402,C
Forum for Health Economics and Policy,1558-9544,,1998.0,http://www.bepress.com/fhep/,1402,C
Forum for Social Economics,0736-0932,1874-6381,1975.0,http://www.springerlink.com/,1402,C
Forum of International Development Studies,1341-3732,,1994.0,http://ci.nii.ac.jp/,1499,B
Foundations and Trends in Econometrics,1551-3076,1551-3084,2005.0,http://www.nowpublishers.com/,1403,C
Foundations and Trends in Entrepreneurship,1551-3114,1551-3122,2005.0,http://www.nowpublishers.com/,1402,C
Foundations and Trends in Finance,1930-8248,1930-8256,2005.0,http://www.nowpublishers.com/,1502,C
Foundations and Trends in Microeconomics,1547-9846,1547-9854,2005.0,http://www.nowpublishers.com/,1402,C
Frontiers in Finance and Economics,1814-2044,,2004.0,www.ffe.esc-lille.com,1502,C
Frontiers of Economics in China:  selected publications from Chinese universities,1673-3444,1673-3568,2006.0,http://www.springer.com/,1402,C
Futures,0016-3287,1873-6378,1968.0,http://www.elsevier.com/,1503,B
Fuzzy Economic Review: review of the International Association for Fuzzy-set Management and Economy,1136-0593,,1995.0,http://www.proquest.co.uk/en-UK/,1402,C
Gambling Research,1832-4975,,,http://search.informit.com.au/,1506,C
Games and Economic Behavior,0899-8256,1090-2473,1989.0,http://www.sciencedirect.com/,1402,A*
Gender and Education,0954-0253,1360-0516,1989.0,http://www.informaworld.com/,1503,A
Gender in Management: an international journal,1754-2413,1754-2421,1985.0,http://www.proquest.com/,1503,C
"Gender, Work and Organization",0968-6673,1468-0432,1994.0,http://www3.interscience.wiley.com/,1503,A
Geneva Papers on Risk and Insurance - Issues and Practice,1018-5895,1468-0440,1973.0,http://www.palgrave-journals.com/,1502,B
Genus,0016-6987,2035-5556,1934.0,,1499,C
German Economic Review,1465-6485,1468-0475,2000.0,http://www3.interscience.wiley.com/,1402,B
Global Business  Economics Anthology,1553-1392,,2000.0,,1402,C
Global Business  Economics Review,1097-4954,1745-1329,2005.0,http://www.inderscience.com/,1402,C
Global Business and Finance Review,1088-6931,,1996.0,http://www.montclair.edu/,1503,C
Global Business Review,0972-1509,1940-1558,2000.0,http://www.sagepub.com/,1503,C
Global Economic Review,1226-508X,1744-3873,1973.0,http://www.informaworld.com/,1402,C
Global Economy Journal,1553-5304,,2000.0,http://www.bepress.com/,1402,B
Global Economy Quarterly,1524-5861,,2000.0,http://www.bepress.com/,1402,C
Global Environmental Politics,1526-3800,1536-0091,2000.0,http://muse.jhu.edu/,1402,C
Global Finance Journal,1044-0283,1873-5665,1989.0,http://www.elsevier.com/,1502,B
Global Governance,1075-2846,1942-6720,1995.0,http://www.rienner.com/,1503,B
Global Health Governance: the scholarly journal for the new health security paradigm,1939-2389,,2007.0,http://www.ghgj.org/,1402,C
Global Journal of Business Research,1931-0277,,2007.0,www.theIBFR.com,1503,C
Global Journal of Finance and Economics,0972-9496,,2008.0,,1402,C
Global Networks (Oxford): a journal of transnational affairs,1470-2266,1471-0374,2001.0,http://www3.interscience.wiley.com/,1499,A
Global Perspectives on Accounting Education,1543-2955,,2003.0,http://digitalcommons.bryant.edu/,1501,C
Global Review of Business and Economic Research,0973-127X,,2005.0,,1402,C
Global Social Policy,1468-0181,1741-2803,2001.0,http://gsp.sagepub.com/,1402,C
Gospodarka Narodowa,0867-0005,,1946.0,,1402,C
Greek Economic Review,1010-9994,,1979.0,,1402,C
Greener Management International,0966-9671,,1993.0,http://www.greenleaf-publishing.com/,1503,C
Griffith Law Review,1038-3441,,1992.0,http://heinonline.org/,180105,C
Group  Organization Management: an international journal,1059-6011,1552-3993,1976.0,http://www.sagepub.com/,1503,A
Group Decision and Negotiation,0926-2644,1572-9907,1992.0,http://springerlink.metapress.com/,1503,B
"Group Dynamics: Theory, Research and Practice",1089-2699,1930-7802,1997.0,,1503,B
Group Processes and Intergroup Relations,1368-4302,1461-7188,1998.0,http://gpi.sagepub.com/,1503,B
Growth and Change: a journal of urban and regional policy,0017-4815,1468-2257,1970.0,http://www3.interscience.wiley.com/,1402,B
Habitat International,0197-3975,1873-5428,1976.0,http://www.sciencedirect.com/,1504,A
Harvard Business Review,0017-8012,,1922.0,http://hbr.harvardbusiness.org/,1503,A
Harvard Environmental Law Review,0147-8257,,1976.0,http://www.heinonline.org/,180105,A
Harvard International Law Journal,0017-8063,,1959.0,http://www.heinonline.org/,180105,A
Harvard Journal of Law and Public Policy,0193-4872,,1978.0,http://www.heinonline.org/,180105,A
Harvard Journal of Law and Technology,0897-3393,,1988.0,http://www.heinonline.org/,180105,A
Harvard Law Review,0017-811X,,1887.0,http://www.heinonline.org/,180105,A*
Hastings Business Law Journal,1554-849X,1554-8503,2005.0,http://www.heinonline.org/,180105,B
Health Care Management Review,0361-6274,1550-5030,1976.0,http://ovidsp.tx.ovid.com/,1503,A
Health Care Management Science,1386-9620,1572-9389,1998.0,http://www.springerlink.com/,1503,C
Health Communication,1041-0236,1532-7027,1989.0,http://www.informaworld.com/,1503,B
Health Economics,1057-9230,1099-1050,1992.0,http://www3.interscience.wiley.com/,1402,A
"Health Economics, Policy and Law",1744-1331,1744-134X,2006.0,http://journals.cambridge.org/,1402,B
Health Informatics Journal,1460-4582,1741-2811,1992.0,http://jhi.sagepub.com/,806,C
Health Marketing Quarterly,0735-9683,1545-0864,1978.0,http://www.informaworld.com/,1402,B
"Health Services and Outcomes Research Methodology: an international journal devoted to quantitative methods for the study of the utilization, quality, cost and outcomes of health care",1387-3741,1572-9400,1999.0,http://www.springerlink.com/,1503,C
Health Services Management Research,0951-4848,1758-1044,1988.0,http://www.swetswise.com/,1503,C
Health Services Research,0017-9124,1475-6773,1965.0,http://www3.interscience.wiley.com/,1503,A
Higher Education Quarterly,0951-5224,1468-2273,1946.0,http://www3.interscience.wiley.com/,1503,B
Higher Education: the international journal of higher education and educational planning,0018-1560,1573-174X,1971.0,http://www.springerlink.com/,1503,A
Historical Materialism: research in critical Marxist theory,1465-4466,1569-206X,1997.0,http://www.swetswise.com/,1401,C
Historical Studies in Industrial Relations,1362-1572,,1996.0,,1503,C
History of Economic Ideas,1122-8792,1724-2169,1982.0,http://www.libraweb.net/,1401,B
History of Economics Review,1037-0196,,1981.0,http://search.informit.com.au/,1401,B
History of Political Economy,0018-2702,1527-1919,1969.0,http://hope.dukejournals.org/,1401,A
Hitotsubashi Journal of Economics,0018-280X,,1960.0,,1402,B
Homo Oeconomicus,0943-0180,,1983.0,,1402,C
Hong Kong Law Journal,0378-0600,,1971.0,http://www.lexisnexis.com/,180105,A
Housing Policy Debate,1051-1482,,1990.0,http://www.mi.vt.edu/,1402,B
Housing Studies,0267-3037,1466-1810,1986.0,http://www.informaworld.com/,1499,A
Housing Studies,0267-3037,1466-1810,1986.0,http://www.tandf.co.uk/,1504,B
Houston Business and Tax Law Journal,1543-2602,,2001.0,http://heinonline.org/,180125,C
HRfocus: the hands-on tool for human resources professionals,1059-6038,1945-5089,1919.0,http://www.ioma.com/issues/HRF/,1503,C
Huan Bohai Jingji Liaowang,1004-9754,,1987.0,,1402,C
Human Communication Research,0360-3989,1468-2958,1974.0,http://www3.interscience.wiley.com/,1503,A
Human IT,,1402-151X,1997.0,http://etjanst.hb.se/bhs/ith/humanit.htm,806,B
Human Performance,0895-9285,1532-7043,1988.0,http://www.informaworld.com/,1503,A
Human Relations,0018-7267,1741-282X,1947.0,http://hum.sagepub.com/,1503,A
Human Resource Development International,1367-8868,1469-8374,1998.0,http://www.tandf.co.uk/,1503,B
Human Resource Development Quarterly,1044-8004,1532-1096,1990.0,,1503,B
Human Resource Development Review,1534-4843,1552-6712,2002.0,http://www.sagepub.com/,1503,B
Human Resource Management (US),0090-4848,1099-050X,1961.0,http://au.wiley.com/,1503,A*
Human Resource Management International Digest,0967-0734,1758-7166,1993.0,http://www.emeraldinsight.com/,1503,C
Human Resource Management Journal (UK),0954-5395,1748-8583,1988.0,http://www.wiley.com/,1503,A
Human Resource Management Review,1053-4822,1873-7889,1991.0,http://www.elsevier.com/,1503,B
Human Systems Management,0167-2533,1875-8703,1980.0,http://www.iospress.nl/,1503,C
Human-Computer Interaction,0737-0024,1532-7051,1985.0,http://www.informaworld.com/,806,A
Humanomics,0828-8666,1758-7174,1984.0,http://www.emeraldinsight.com/,1503,C
IATSS Research,0386-1112,,1977.0,,1507,C
ICSID Review: foreign investment law journal,0258-3690,,1986.0,http://www.press.jhu.edu/,180105,C
IDS Bulletin,0265-5012,1759-5436,1969.0,http://www3.interscience.wiley.com/,1402,B
IEEE Transactions on Intelligent Transportation Systems,1524-9050,1558-0016,2000.0,http://ieeexplore.ieee.org/,1507,A
IEEE Transactions on Professional Communication,0361-1434,1558-1500,1958.0,http://ieeexplore.ieee.org/,806,B
IEEE Transactions on Vehicular Technology,0018-9545,1939-9359,1967.0,http://ieeexplore.ieee.org/,1507,A
IEICE Transactions on Information and Systems,0916-8532,1745-1361,1976.0,http://www.oxfordjournals.org/,806,C
IIC International Review of Intellectual Property and Competition Law,0018-9855,1522-2578,1969.0,http://search.informit.com.au/,180105,A
Il Pensiero Economico Moderno,1593-8522,,1981.0,,1402,C
IMA Journal of Applied Mathematics,0272-4960,1464-3634,1981.0,http://imamat.oxfordjournals.org/,1403,A
Impact Assessment and Project Appraisal,1461-5517,1471-5465,1998.0,http://www.scipol.co.uk/iapahomel.html,1503,C
Indian Development Review,0972-9437,,2003.0,,1402,C
Indian Economic and Social History Review,0019-4646,1939-9804,1963.0,http://ier.sagepub.com/,1402,C
Indian Economic Journal,0019-4662,,1953.0,,1402,C
Indian Economic Review,0019-4670,,1952.0,,1402,C
Indian Growth and Development Review,1753-8254,1753-8262,2008.0,http://www.emeraldinsight.com/,1402,C
Indian Journal of Economics,0019-5170,,1916.0,http://www.indianjournalofeconomics.com/,1402,C
Indian Journal of Economics and Business,0972-5784,,2002.0,,1402,C
Indian Journal of Gender Studies,0971-5215,1940-0306,1983.0,http://www.indiasage.com/,1503,C
Indian Journal of Industrial Relations,0019-5286,,1964.0,http://srcirhr.com/ijir.htm,1503,C
Indian Journal of Labour Economics,0019-5308,,1958.0,,1402,C
Indonesian Management and Accounting Research,1411-8858,,,http://www.sciencedirect.com/,1501,C
Industrial and Corporate Change,0960-6491,1464-3650,1992.0,http://icc.oxfordjournals.org/,1503,A
Industrial and Labor Relations Review,0019-7939,,1947.0,http://www.ilr.cornell.edu/ilrreview/,1503,A*
Industrial Law Journal,0305-9332,1464-3669,1972.0,http://ilj.oxfordjournals.org/,180105,A
Industrial Marketing Management,0019-8501,1873-2062,1971.0,http://www.sciencedirect.com/,1505,A
Industrial Relations,0034-379X,1703-8138,1945.0,http://www.rlt.ulaval.ca/ri-ir/,1503,A
Industrial Relations Journal,0019-8692,1468-2338,1970.0,http://www.wiley.com/,1503,A
Industrial Relations: a journal of economy and society,0019-8676,1468-232X,1961.0,http://www.wiley.com/,1503,A*
"Industrielle Beziehungen: Zeitschrift fuer Arbeit, Organisation und Management",0943-2779,,1994.0,http://www.proquest.com/,1503,C
Industry and Higher Education,0950-4222,,1987.0,http://www.ingentaconnect.com/,1503,C
Industry and Innovation,1366-2716,1469-8390,1993.0,http://www.tandf.co.uk/,1503,C
"Info : the Journal of Policy, Regulation and Strategy for Telecommunications, Information and Media",1463-6697,1465-9840,1999.0,http://www.emeraldinsight.com/,806,B
INFOR: Information Systems and Operational Research,0315-5986,1916-0615,1963.0,http://www.ebscohost.com/,806,C
Information - Knowledge - Systems Management,1389-1995,1875-8762,1999.0,http://www.swetswise.com/,806,C
Information and Communications Technology Law,1360-0834,1469-8404,1992.0,http://www.informaworld.com/,806,C
Information and Computation,0890-5401,1090-2651,1957.0,http://www.sciencedirect.com/,806,B
Information and Management,0378-7206,1872-7530,1968.0,http://www.sciencedirect.com/,806,A*
Information and Organization,1471-7727,1873-7919,1991.0,http://www.elsevier.com/,806,A
Information and Software Technology,0950-5849,1873-6025,1959.0,http://www.sciencedirect.com/,806,B
Information Economics and Policy,0167-6245,1873-5975,1984.0,http://www.sciencedirect.com/,1402,B
Information Management and Computer Security,0968-5227,1758-5805,1992.0,http://www.emeraldinsight.com/,806,C
Information Processing  Management,0306-4573,1873-5371,1963.0,http://www.sciencedirect.com/,806,C
Information Processing Letters,0020-0190,1872-6119,1971.0,http://www.sciencedirect.com/,806,B
Information Resource Management Journal,1040-1628,1533-7979,1988.0,http://www.proquest.co.uk/en-UK/,806,C
Information Retrieval,1386-4564,1573-7659,1998.0,http://www.springerlink.com/,806,B
Information Systems,0306-4379,1873-6076,1975.0,http://www.sciencedirect.com/,806,A*
Information Systems and e-Business Management,1617-9846,1617-9854,2002.0,http://www.springerlink.com/,806,C
Information Systems Control Journal: a leader in IT governance and assurance,1526-7407,1944-1975,1976.0,,806,C
Information Systems Frontiers: a journal of research and innovation,1387-3326,1572-9419,1999.0,http://www.springerlink.com/,806,A
Information Systems Journal: an international journal promoting the study and practice of information systems,1350-1917,1365-2575,1991.0,http://www3.interscience.wiley.com/,806,A*
Information Systems Management,1058-0530,1934-8703,1983.0,http://www.ebscohost.com/,806,C
Information Systems Research,1047-7047,1526-5536,1990.0,http://www.ebscohost.com/,806,A*
Information Technology  Management,1385-951X,1573-7667,2000.0,http://www.springerlink.com/,806,C
Information Technology and Libraries,0730-9295,,1968.0,http://www.proquest.co.uk/en-UK/,806,B
Information Technology and People,0959-3845,1758-5813,1982.0,http://www.emeraldinsight.com/,806,A
Information Technology for Economics  Management,1643-8949,,2001.0,http://www.item.woiz.polsl.pl/,1402,C
Information Technology in Hospitality,1545-9535,1943-443X,1999.0,http://www.ingentaconnect.com/,806,C
Information Technology Journal,1812-5638,1812-5646,2002.0,http://scialert.net/,806,C
Information Technology Management,1080-286X,,1988.0,http://www.igi-pub.com/,806,B
"Information Technology, Learning and Performance Journal",1535-1556,,1982.0,http://www.ebscohost.com/,806,C
"Information, Communication and Society",1369-118X,1468-4462,1998.0,http://www.informaworld.com/,1503,C
Informing Science: international journal of an emerging transdiscipline,1521-4672,1521-4772,1997.0,http://inform.nu/,806,C
Informs Journal on Computing,1091-9856,1526-5528,1989.0,http://www3.informs.org/site/IJOC/,806,A
Innovation (Abingdon): the European journal of social sciences,1351-1610,1469-8412,1988.0,http://www.informaworld.com/,1503,B
"Innovation: Management, Policy and Practice: the international journal for innovation research, commercialization, policy analysis and best practice",1447-9338,,1998.0,http://www.innovation-enterprise.com/,1503,C
Inquiry: an interdisciplinary journal of philosophy,0020-174X,1502-3923,1958.0,http://www.tandf.co.uk/,1402,B
Insolvency Law Journal,1039-3293,,1993.0,http://legalonline.thomson.com.au/jour/,180105,A
Institute of Economic Affairs. Research Monographs,0073-9103,,1966.0,,1402,C
Insurance and Reinsurance Law Briefing,1743-4009,,1996.0,http://www.sweetandmaxwell.co.uk/,180105,C
Insurance Law Journal,1030-2379,,1988.0,http://www.lexisnexis.com/au/legal/,180105,A
Insurance: Mathematics and Economics,0167-6687,1873-5959,1982.0,http://www.sciencedirect.com/,1502,A
Intellectual Property Journal,0824-7064,,1984.0,http://www.proquest.co.uk/en-UK/,180105,A
Intellectual Property Law Bulletin,1554-9607,,1996.0,http://www.heinonline.org/,180105,C
Intellectual Property Quarterly,1364-906X,,1997.0,http://www.sweetandmaxwell.co.uk/,180105,C
"Intelligent Systems in Accounting, Finance and Management",1550-1949,1099-1174,1992.0,http://www3.interscience.wiley.com/,806,C
Interacting with Computers,0953-5438,,1989.0,http://www.sciencedirect.com/,806,C
Interdisciplinary Environmental Review,1521-0227,,1999.0,,1499,C
"Interdisciplinary Journal of Information, Knowledge, and Management",1555-1229,1555-1237,2006.0,http://www.ijikm.org/,806,C
Intereconomics: review of European economic policy,0020-5346,1613-964X,1966.0,http://www.springerlink.com/,1402,C
Interfaces,0092-2102,1526-551X,1971.0,http://interfaces.pubs.informs.org/,806,B
Internal Auditing,0897-0378,,1986.0,http://www.proquest.co.uk/en-UK/,1501,C
International Advances in Economic Research,1083-0898,1573-966X,1995.0,http://www.springerlink.com/,1402,C
International Affairs,0020-5850,1468-2346,1922.0,http://www3.interscience.wiley.com/,1499,A
International and Comparative Corporate Law Journal,1388-7084,1875-8290,1999.0,,180105,A
International and Comparative Law Quarterly,0020-5893,1471-6895,1952.0,http://journals.cambridge.org/,180105,A
International Business  Economics Research Journal,1535-0754,,2002.0,,1503,C
International Business Lawyer,0309-7676,,1973.0,http://www.heinonline.org/,180105,C
International Business Review,0969-5931,1873-6149,1992.0,http://www.elsevier.com/,1503,A
International Company and Commercial Law Review,0958-5214,,1990.0,http://www.sweetandmaxwell.co.uk/,180105,B
International Development Planning Review,1474-6743,1478-3401,1979.0,http://www.proquest.co.uk/en-UK/,1402,B
International Economic Journal,1016-8737,1743-517X,1987.0,http://www.informaworld.com/,1402,C
International Economic Review,0020-6598,1468-2354,1960.0,http://www3.interscience.wiley.com/,1402,A*
International Economics and Economic Policy,1612-4804,1612-4812,2004.0,http://www.springerlink.com/,1402,B
International Employment Relations Review ,1324-1125,,1995.0,http://www.ugbs.org/weru/iera/ierreview/default.htm,1503,C
International Finance,1367-0271,1468-2362,1998.0,http://www.wiley.com/,1502,B
International Gambling Studies,1445-9795,1479-4276,2001.0,http://www.informaworld.com/,1506,C
International Game Theory Review,0219-1989,1793-6675,1999.0,http://www.worldscinet.com/igtr/igtr.shtml,1401,B
International Insolvency Review: journal of the international association of insolvency professionals,1180-0518,1099-1107,1992.0,http://www3.interscience.wiley.com/,180105,B
International Insurance Law Review,0968-2090,,1993.0,,180105,A
International Journal for Infonomics,1742-4720,1742-4712,2005.0,http://www.i-journal.org/,806,C
International Journal of Accounting and Finance,1752-8224,1752-8232,2008.0,http://www.inderscience.com/,1501,C
International Journal of Accounting and Information Management,1834-7649,1758-9037,1922.0,http://www.emeraldinsight.com/,1501,C
International Journal of Accounting Information Science and Leadership,1940-9524,1940-9532,2008.0,http://www.intellectbase.org/journals.php#IJAISL,806,C
International Journal of Accounting Information Systems,1467-0895,1873-4723,2000.0,http://www.elsevier.com/,806,A
"International Journal of Accounting, Auditing and Performance Evaluation",1740-8008,1740-8016,2004.0,http://www.inderscience.com/,1501,C
International Journal of Actor-Network Theory and Technological Innovation,1942-535X,1942-5368,2009.0,http://eventseer.net/,1503,C
International Journal of Advertising,0265-0487,,1982.0,http://www.ebscohost.com/,1505,B
International Journal of Agile Management Systems,1741-9174,1741-9182,2006.0,http://www.inderscience.com/,1503,C
"International Journal of Agricultural Resources, Governance and Ecology",1462-4605,1741-5004,2000.0,http://www.inderscience.com/,1402,C
International Journal of Applied Business and Economic Research,0972-7302,,2003.0,,1503,C
International Journal of Applied Econometrics and Quantitative Studies,1698-4153,1988-0081,2004.0,http://www.usc.es/~economet/ijaeqs.htm,1402,C
International Journal of Applied Economics,1548-0003,,2004.0,http://www2.selu.edu/orgs/ijae/index.htm,1402,C
International Journal of Applied Economics and Econometrics,1530-7247,,1991.0,http://www.ebscohost.com/,1402,C
International Journal of Applied HRM,1742-2604,,2004.0,http://www.managementjournals.com/,1503,C
International Journal of Applied Management and Technology,1544-4740,,1973.0,http://www.ebscohost.com/,1503,C
